Node,Step,Graph,Correlation
13,3,IG,0.7319250547113998
13,3,EG,0.7319250547113998
13,4,IG,0.7319250547113998
13,4,EG,0.7319250547113998
13,5,IG,0.7319250547113998
13,5,EG,0.7319250547113998
13,6,IG,0.7319250547113998
13,6,EG,0.7319250547113998
13,7,IG,0.7319250547113998
13,7,EG,0.7319250547113998
13,8,IG,0.7319250547113998
13,8,EG,0.7319250547113998
13,9,IG,0.7319250547113998
13,9,EG,0.7319250547113998
13,10,IG,0.7319250547113998
13,10,EG,0.7319250547113998
13,11,IG,0.7319250547113998
13,11,EG,0.7319250547113998
13,12,IG,0.7319250547113998
13,12,EG,0.7319250547113998
13,13,IG,0.7319250547113998
13,13,EG,0.7319250547113998
13,14,IG,0.7319250547113998
13,14,EG,0.7319250547113998
13,15,IG,0.7319250547113998
13,15,EG,0.7319250547113998
13,16,IG,0.7319250547113998
13,16,EG,0.7319250547113998
13,17,IG,0.7319250547113998
13,17,EG,0.7319250547113998
13,18,IG,0.7319250547113998
13,18,EG,0.7319250547113998
13,19,IG,0.7319250547113998
13,19,EG,0.7319250547113998
13,20,IG,0.7319250547113998
13,20,EG,0.7319250547113998
14,1,IG,0.9851843661437779
14,1,EG,1.0
14,2,IG,0.8401680504168058
14,2,EG,0.8895689051064235
14,3,IG,0.6444750586840602
14,3,EG,0.8625208019610608
14,4,IG,0.4200840252084029
14,4,EG,0.7439171074622721
14,5,IG,0.4154662416233762
14,5,EG,0.7629682454013953
14,6,IG,0.3582488604159193
14,6,EG,0.7294439698337503
14,7,IG,0.3582488604159193
14,7,EG,0.6922748503517757
14,8,IG,0.2993024405109646
14,8,EG,0.7038747263177529
14,9,IG,0.2993024405109646
14,9,EG,0.7038747263177529
14,10,IG,0.2993024405109646
14,10,EG,0.7038747263177529
14,11,IG,0.2993024405109646
14,11,EG,0.7038747263177529
14,12,IG,0.2993024405109646
14,12,EG,0.7038747263177529
14,13,IG,0.2993024405109646
14,13,EG,0.7038747263177529
14,14,IG,0.2993024405109646
14,14,EG,0.7038747263177529
14,15,IG,0.2993024405109646
14,15,EG,0.7038747263177529
14,16,IG,0.2993024405109646
14,16,EG,0.7038747263177529
14,17,IG,0.2993024405109646
14,17,EG,0.7038747263177529
14,18,IG,0.2993024405109646
14,18,EG,0.7038747263177529
14,19,IG,0.2993024405109646
14,19,EG,0.7038747263177529
14,20,IG,0.2993024405109646
14,20,EG,0.7038747263177529
